,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,25,45,-0.2857142816326531,0.07121057978513674,12.378787878787879,0.43084455324357407,5.123852972812582,12.378787878787879,352,807,2.5084525357607284,2,6.701363073110285
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,6,3,0.33333329629630043,0.0743801646745441,11.333333333333334,0.37254901960784315,4.682352941176471,11.333333333333334,38,101,2.3125,2,6.00990099009901
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,30,46,-0.21052631301939062,0.10312075969725813,10.423728813559322,0.42601626016260163,4.3398980294887695,10.423728813559322,262,610,2.3633333333333333,11,6.4852459016393444
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,13,25,-0.31578946537396146,0.07916666650173611,11.294117647058824,0.4192708333333333,4.685355392156864,11.294117647058824,161,377,2.4358974358974357,4,6.437665782493369
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,31,57,-0.2954545420971075,0.11780455138178775,12.320754716981131,0.48392036753445633,5.1218700338062355,12.320754716981131,316,653,2.5959438377535102,2,7.022970903522205
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,33,35,-0.02941176427335641,0.10559006194784151,13.666666666666666,0.4352720450281426,5.640775484677924,13.666666666666666,232,531,2.3870967741935485,5,6.4576271186440675
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,6,3,0.33333329629630043,0.030201342180532408,10.08,0.5158730158730159,4.2383492063492065,10.08,130,252,2.5826446280991737,0,7.095238095238095
7,44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,27,3,0.7999999733333342,0.06912442380386077,10.371428571428572,0.3333333333333333,4.281904761904762,10.371428571428572,121,359,2.244047619047619,3,5.9805013927576605
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,38,58,-0.20833333116319447,0.12851405605285937,17.057142857142857,0.48911222780569513,7.018502033979421,17.057142857142857,292,596,2.5748709122203097,3,7.115771812080537
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,34,25,0.15254237029589204,0.14603960359891188,10.96774193548387,0.27058823529411763,4.495332068311195,10.96774193548387,92,335,2.089820359281437,37,5.740298507462686
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,9,39,-0.6249999869791669,0.06299212590158514,12.6,0.4523809523809524,5.220952380952381,12.6,285,630,2.4158415841584158,0,6.690476190476191
